num,text,timestamp,label
23933298,They make Hurricane Sandy sound like a big deal. I gotta run to the supermarket now to stock up on food. #nojoke,41209.64722,1
619454798,The kitchen was out of mad food tonight so I told the customers that hurricane sandy delayed our delivery truck to save my ass.,41213.17083,1
885698120,Hundreds if not thousands of people lost their homes and loved ones to hurricane sandy. Kids at southside still complain about their food.,41213.16736,1
145900244,"“@_KingDing_ALing: My TL right now:
-The Heat

-The Lakers

-Hurricane Sandy

-Some bitch begging for a cuddle buddy

-& food.” ",41213.15625,1
477093805,#YouGainMajorPointsIf you go to dollarama while hurricane sandy's having a fit just to get me delicious food @J_kelso21,41213.14375,0
71372194,"$50 in food and $60 in liquor later, we hit the Hurricane Sandy party a day too late #sorryboutit",41213.13472,1
261804690,"My TL right now:
-The Heat

-The Lakers

-Hurricane Sandy

-Some bitch begging for a cuddle buddy

-& food.",41213.12361,1
127224530,"Food And Wine Top story: The Ultimate Hurricane Sandy Dining Guide to NYC - Hurrica… http://ny.eater.com/archives/2012/10/the_ultimate_hurricane_sandy_dining_guide_to_nyc.php …, see more http://tweetedtimes.com/The_CityOfRoses/food …",41213.12361,1
42301660,junk food + magic mike with hurricane sandy http://instagr.am/p/RbkLi5Lhxi/ ,41213.12222,0
147786861,"“@HuffingtonPost: WATCH: Donnie Wahlberg's home gets flooded due to Hurricane Sandy http://huff.to/XV2ZZx ” ""saving some food"" lol. Such a bro",41213.10903,1
455500604,Because of hurricane sandy I am now pregnant..... With an enormous food baby #octomom,41213.10347,1
39857325,I say a prayer for all those up north affected by Hurricane Sandy.. Thousands of people still have no electricity or food.. #BLESS :-(,41213.08611,1
751184984,Healthy food to stock up during hurricane #sandy. video here http://bit.ly/freeraw ,41213.05903,0
175576528,"""Keep Food and Family Safe During Power Outage from Hurricane Sandy"" http://bit.ly/SsaFRB  via @emaxhealth",41213.05486,0
49538964,"Really! posting fake pictures of Hurricane Sandy, people have lost homes, jobs, relatives, and food, show some compassion, assholes!",41213.04514,1
343305182,Food Safety: Tips if Hurricane Sandy Knocked Out Your Fridge - DailyFinance http://buff.ly/SsX8sV  | #law #jobs #firm #hiring #careers #attor…,41213.04444,1
214329366,Good to know! RT @modernmom: No power? Find out what #food could make your #family sick! Hurricane #Sandy #safety http://mmom.me/SsPezN ,41213.03472,1
32485188,Want to help? We're packaging natural food products & green cleaners to those affected by Hurricane Sandy http://www.facebook.com/gwellness  #shakleecares,41213.025,1
27258345,"WBNG: Getting Food to East Coast: Kirkwood, NY (WBNG Binghamton) Hurricane Sandy spared most of the Twin Tiers, ... http://bit.ly/T302lG ",41213.00903,0
344102044,Hurricane Sandy: Keeping food safe if the power goes out  http://bit.ly/Sel68y  #hurricane #Sandy,41213,0
15891280,"It's truly like an apocalypse. Everyone playing neighborhood watch, sharing food. This is fucked up and I'm in the middle #hurricane #sandy",41212.98958,1
102255917,"Price hikes for electricity, gas, food not expected in aftermath of Hurricane Sandy - http://bit.ly/T2U7gs  #Harrisburg #Pennsylvania",41212.98542,1
61587526,Hurricane Sandy: Pre-Storm Mayhem Hits NYC Whole Foods | Daily ... http://bit.ly/YkOspb ,41212.98403,1
95302876,"Hurricane Sandy was a bitch ass bitch, but at least the Chinese food restaurants were open! http://instagr.am/p/RbNVXih-lN/ ",41212.98333,1
159609909,"TURN ON THE LIGHTSS. 
Look what you done do. 
Hurricane sandy cause of u I can't cook food. 
Can't piss in the dark or even watch the  news",41212.97778,1
246509792,I guess its official ...the food in my fridge is a victim of Hurricane Sandy and tomorrow we will be cooking a... http://fb.me/K10gACo6 ,41212.97639,1
212070076,Power Outage Food Safety: What To Toss And What To Keep http://huff.to/WVC6pp  via @HealthyLiving #hurricane #sandy #food #health #safe,41212.97569,0
196633674,Everyone's go-to #hurricane #sandy food was bread. Am I right? http://instagr.am/p/RbLeT7j7sK/ ,41212.97361,1
25692090,worst day to work in food business...EVER. thanks hurricane sandy.,41212.97014,1
96136179,Hurricane sandy got me spending half of my $$$$ on food and nothing really hit tho. Waist of my time. Got a crib full of food.,41212.96736,1
18874383,Were you affected by a power outage? @HealthyLiving tells us what food is safe to keep & what to toss: http://goo.gl/wMMWw  #Hurricane Sandy,41212.95139,0
415294181,Going to the gym because the amount of food ive consumed because of hurricane sandy CANT be real... #YIKES ,41212.94306,1
15891280,"I am in a shitty mood. No coffee, not hot food, no shower, no Internet other than my phone. #hurricane #sandy",41212.79653,1
244794847,A shout out to all of the volunteers who distributed food in the midst of Hurricane Sandy yesterday!  That's some real Jesus love! Thanks!,41212.79306,1
790644564,How To Keep Your Food Safe If Hurricane Sandy Cuts Electricity -  http://adf.ly/1jSFF ,41212.79167,0
815445782,What was your comfort food last night? MT @momwhoruns: {blog post} Comfort Food During Hurricane Sandy http://tinyurl.com/9qyncoe  #Sandy,41212.78472,1
790401866,Do you have bottled water and peanut butter handy? 5 Food tips for Hurricane Sandy survival http://ow.ly/eSWjO  #abcnews #naturaldisasters,41212.78194,0
727324843,How To Keep Your Food Safe If Hurricane Sandy Cuts Electricity -,41212.775,0
168426716,#flood Jamaica: YB Afraid Foundation and Food For The Poor Assist Hurricane Sandy Victims in Jamaica http://bit.ly/XTWwOy  #crisismanagement,41212.76806,1
29868007,"Text ""REDCROSS"" to 90999 2 make a $10 donation (charged to ur phone bill) to help give food & dry clothes 2 those rescued in hurricane Sandy",41212.76667,1
95489360,"We're praying for all of you affected by Hurricane Sandy. We hope your loved ones are safe and that you all have shelter, hot food and...",41212.76528,0
35718116,"Loving Nick Pisa over in New York reporting on Hurricane Sandy ""you can't buy any food here - a burger, pizza or donut""",41212.76042,1
268009140,I've ate so much food because of Hurricane Sandy #fatkidprobz,41212.75486,1
19437432,Pathetic Romney show in Ohio: collecting #cannedfood for hurricane Sandy victims. Will food drives replace #FEMA?,41212.75347,1
542325816,"Hurricane #Sandy #Fashion Tweets Remind Us That Sweatpants, Junk Food Are Still OK (TWEETS) http://huff.to/UaKZ8v  via @HuffPostStyle",41212.75347,0
28127131,{blog post} Comfort Food During Hurricane Sandy (or any miserable weather) http://tinyurl.com/9qyncoe  #Sandy,41212.75069,1
351079098,"""How to keep your food safe if Hurricane Sandy cuts electricity"" - #health #family http://ow.ly/eRw3u ",41212.75069,0
297788210,"I have no power, therefore I can't cook any food.... Hurricane Sandy: 3 Gina: 0",41212.74861,0
475954744,"After a Power Outage: Important USDA Food Safety Guidelines and Tips: 

Hurricane Sandy tore a path through the ... http://bit.ly/YjwlQs ",41212.74375,1
24465164,@NutritionSchool: Have you lost power due to Hurricane #Sandy? Here are some food safety tips from @joansalgeblake: http://buff.ly/W35afz ,41212.74236,1
25680563,"Hurricane Sandy is making me feel pretty homeless right now. No food, No power",41212.74167,1
185888479,Via @souldancing YB Afraid Foundation and Food For The Poor Assist Hurricane Sandy Victims in J... http://bit.ly/SeU2Gn  #jamaicanblogger,41212.74097,1
390145618,@nicole_coolin I'm broke son hurricane sandy made me waste all my money on food lls,41212.73611,1
187947012,"If anyone would like to donate any dog food, bedding, or care items for pet relief due to Hurricane Sandy, please... http://fb.me/J0aWAlLB ",41212.73611,1
794222444,"“@HuffPostWorld: Hurricane #Sandy destroys Haitian homes, crops; food crisis feared http://huff.to/XTkGsz ” #sad",41212.73542,1
391622919,sholoteoter: US: Food sites remain closed after Hurricane Sandy strikes (just-food),41212.73264,1
394307216,garrisonkarl: US: Food sites remain closed after Hurricane Sandy strikes (just-food),41212.73264,1
391180093,joesorto: US: Food sites remain closed after Hurricane Sandy strikes (just-food),41212.73264,1
